회사명,종목코드,KOS
교보14호스팩,456490,kosdaq
이노시뮬레이션,274400,kosdaq
알멕,354320,kosdaq
오픈놀,440320,kosdaq
시큐센,232830,kosdaq
하나29호스팩,454640,kosdaq
KB제25호스팩,455250,kosdaq
엔에이치스팩29호,451700,kosdaq
하이제8호스팩,450050,kosdaq
프로테옴텍,303360,kosdaq
큐라티스,348080,kosdaq
마녀공장,439090,kosdaq
나라셀라,405920,kosdaq
진영,285800,kosdaq
기가비스,420770,kosdaq
팸텍,271830,kosdaq
모니터랩,434480,kosdaq
씨유박스,340810,kosdaq
키움제8호스팩,446840,kosdaq
트루엔,417790,kosdaq
에스바이오메딕스,304360,kosdaq
슈어소프트테크,298830,kosdaq
토마토시스템,393210,kosdaq
마이크로투나노,424980,kosdaq
셀바이오휴먼텍,318160,kosdaq
미래에셋비전스팩3호,448830,kosdaq
IBKS제22호스팩,448760,kosdaq
하나27호스팩,448370,kosdaq
지아이이노베이션,358570,kosdaq
LB인베스트먼트,309960,kosdaq
유안타제12호스팩,446150,kosdaq
엑스게이트,356680,kosdaq
미래에셋드림스팩1호,442900,kosdaq
금양그린파워,282720,kosdaq
라온텍,418420,kosdaq
엔에이치스팩28호,450410,kosdaq
자람테크놀로지,389020,kosdaq
하나26호스팩,446750,kosdaq
나노팀,417010,kosdaq
바이오인프라,199730,kosdaq
삼성스팩8호,448740,kosdaq
유안타제13호스팩,449020,kosdaq
미래에셋비전스팩2호,446190,kosdaq
이노진,344860,kosdaq
화인써키트,127980,kosdaq
제이오,418550,kosdaq
샌즈랩,411080,kosdaq
꿈비,407400,kosdaq
스튜디오미르,408900,kosdaq
삼기이브이,419050,kosdaq
오브젠,417860,kosdaq
미래반도체,254490,kosdaq
티이엠씨,425040,kosdaq
한주라이트메탈,198940,kosdaq
옵티코어,380540,kosdaq
신영스팩9호,445970,kosdaq
신스틸,162300,kosdaq
비엔케이제1호스팩,445360,kosdaq
IBKS제21호스팩,442770,kosdaq
엔에이치스팩27호,440820,kosdaq
핑거스토리,417180,kosdaq
SAMG엔터,419530,kosdaq
대신밸런스제14호스팩,442310,kosdaq
엔에이치스팩26호,439410,kosdaq
유진스팩9호,442130,kosdaq
대신밸런스제13호스팩,438220,kosdaq
펨트론,168360,kosdaq
인벤티지랩,389470,kosdaq
엔젯,419080,kosdaq
유비온,084440,kosdaq
티쓰리,204610,kosdaq
티에프이,425420,kosdaq
윤성에프앤씨,372170,kosdaq
디티앤씨알오,383930,kosdaq
뉴로메카,348340,kosdaq
제이아이테크,417500,kosdaq
엔에이치스팩25호,438580,kosdaq
케이비제23호스팩,440200,kosdaq
교보13호스팩,440790,kosdaq
큐알티,405100,kosdaq
IBKS제20호스팩,439730,kosdaq
저스템,417840,kosdaq
산돌,419120,kosdaq
삼성스팩7호,439250,kosdaq
플라즈맵,405000,kosdaq
엔에이치스팩24호,437780,kosdaq
핀텔,291810,kosdaq
하나금융25호스팩,435620,kosdaq
한국제11호스팩,436610,kosdaq
샤페론,378800,kosdaq
비스토스,419540,kosdaq
탑머티리얼,360070,kosdaq
에스비비테크,389500,kosdaq
오에스피,368970,kosdaq
모델솔루션,417970,kosdaq
이노룰스,296640,kosdaq
파인엠텍,441270,kosdaq
SK증권제8호스팩,435870,kosdaq
유안타제10호스팩,435380,kosdaq
선바이오,067370,kosdaq
더블유씨피,393890,kosdaq
알피바이오,314140,kosdaq
하나금융24호스팩,430230,kosdaq
한화플러스제3호스팩,430460,kosdaq
오픈엣지테크놀로지,394280,kosdaq
케이비제22호스팩,436530,kosdaq
하나금융23호스팩,427950,kosdaq
키움제7호스팩,433530,kosdaq
IBKS제19호스팩,426550,kosdaq
신영스팩8호,430220,kosdaq
대성하이텍,129920,kosdaq
에이치와이티씨,148930,kosdaq
새빗켐,107600,kosdaq
유안타제9호스팩,430700,kosdaq
신한제10호스팩,418210,kosdaq
아이씨에이치,368600,kosdaq
성일하이텍,365340,kosdaq
에이프릴바이오,397030,kosdaq
에이프릴바이오,397030,kosdaq
벨로크,424760,kosdaq
루닛,328130,kosdaq
HPSP,403870,kosdaq
와이씨켐,112290,kosdaq
코난테크놀로지,402030,kosdaq
넥스트칩,396270,kosdaq
삼성스팩6호,425290,kosdaq
엔에이치스팩23호,422040,kosdaq
교보12호스팩,421800,kosdaq
레이저쎌,412350,kosdaq
보로노이,310210,kosdaq
위니아에이드,377460,kosdaq
케이비제21호스팩,424140,kosdaq
비플라이소프트,148780,kosdaq
범한퓨얼셀,382900,kosdaq
청담글로벌,362320,kosdaq
하나금융22호스팩,418170,kosdaq
가온칩스,399720,kosdaq
대명에너지,389260,kosdaq
상상인제3호스팩,415580,kosdaq
신영스팩7호,419270,kosdaq
포바이포,389140,kosdaq
신한제9호스팩,405640,kosdaq
미래에셋비전스팩1호,412930,kosdaq
키움제6호스팩,413600,kosdaq
지투파워,388050,kosdaq
유진스팩8호,413630,kosdaq
세아메카닉스,396300,kosdaq
공구우먼,366030,kosdaq
유일로보틱스,388720,kosdaq
모아데이타,288980,kosdaq
메쎄이상,408920,kosdaq
노을,376930,kosdaq
비씨엔씨,146320,kosdaq
풍원정밀,371950,kosdaq
스톤브릿지벤처스,330730,kosdaq
하나금융21호스팩,406760,kosdaq
브이씨,365900,kosdaq
퓨런티어,370090,kosdaq
바이오에프디엔씨,251120,kosdaq
한국제10호스팩,409570,kosdaq
IBKS제17호스팩,405350,kosdaq
인카금융서비스,211050,kosdaq
나래나노텍,137080,kosdaq
아셈스,136410,kosdaq
스코넥,276040,kosdaq
이지트로닉스,377330,kosdaq
애드바이오텍,179530,kosdaq
애드바이오텍,179530,kosdaq
케이옥션,102370,kosdaq
디비금융스팩10호,404950,kosdaq
오토앤,353590,kosdaq
래몽래인,200350,kosdaq
하나금융20호스팩,400560,kosdaq
교보11호스팩,397880,kosdaq
하이제7호스팩,400840,kosdaq
우리벤처파트너스,298870,kosdaq
툴젠,199800,kosdaq
마음AI,377480,kosdaq
알비더블유,361570,kosdaq
바이옵트로,222160,kosdaq
트윔,290090,kosdaq
아이티아이즈,372800,kosdaq
지오엘리먼트,311320,kosdaq
디어유,376300,kosdaq
비트나인,357880,kosdaq
지니너스,389030,kosdaq
피코그램,376180,kosdaq
엔켐,348370,kosdaq
리파인,377450,kosdaq
지앤비에스 에코,382800,kosdaq
아이패밀리에스씨,114840,kosdaq
차백신연구소,261780,kosdaq
지아이텍,382480,kosdaq
코닉오토메이션,391710,kosdaq
씨유테크,376290,kosdaq
아스플로,159010,kosdaq
원준,382840,kosdaq
엔에이치스팩20호,391060,kosdaq
실리콘투,257720,kosdaq
에스앤디,260970,kosdaq
프롬바이오,377220,kosdaq
바이오플러스,099430,kosdaq
신한제8호스팩,393360,kosdaq
유진스팩7호,388800,kosdaq
와이엠텍,273640,kosdaq
에이비온,203400,kosdaq
라이콤,388790,kosdaq
바이젠셀,308080,kosdaq
브레인즈컴퍼니,099390,kosdaq
딥노이드,315640,kosdaq
엠로,058970,kosdaq
플래티어,367000,kosdaq
원티드랩,376980,kosdaq
HK이노엔,195940,kosdaq
한화플러스제2호스팩,386580,kosdaq
에브리봇,270660,kosdaq
맥스트,377030,kosdaq
큐라클,365270,kosdaq
오비고,352910,kosdaq
아모센스,357580,kosdaq
이노뎁,303530,kosdaq
라온테크,232680,kosdaq
삼성머스트스팩5호,380320,kosdaq
LB루셈,376190,kosdaq
에이디엠코리아,187660,kosdaq
에코프로에이치엔,383310,kosdaq
제주맥주,276730,kosdaq
진시스템,363250,kosdaq
삼성스팩4호,377630,kosdaq
삼영에스앤씨,361670,kosdaq
샘씨엔에스,252990,kosdaq
씨앤씨인터내셔널,352480,kosdaq
에이치피오,357230,kosdaq
하이제6호스팩,377400,kosdaq
쿠콘,294570,kosdaq
이삭엔지니어링,351330,kosdaq
해성티피씨,059270,kosdaq
유진스팩6호,373340,kosdaq
유안타제8호스팩,367480,kosdaq
엔시스,333620,kosdaq
자이언트스텝,289220,kosdaq
제노코,361390,kosdaq
라이프시맨틱스,347700,kosdaq
바이오다인,314930,kosdaq
DB금융스팩9호,367360,kosdaq
네오이뮨텍,950220,kosdaq
싸이버원,356890,kosdaq
프레스티지바이오로직스,334970,kosdaq
나노씨엠에스,247660,kosdaq
하나머스트7호스팩,372290,kosdaq
뷰노,338220,kosdaq
하인크코리아,373200,kosdaq
유일에너테크,340930,kosdaq
씨이랩,189330,kosdaq
오로스테크놀로지,322310,kosdaq
피엔에이치테크,239890,kosdaq
모비데이즈,363260,kosdaq
아이퀘스트,262840,kosdaq
신한제7호스팩,366330,kosdaq
레인보우로보틱스,277810,kosdaq
와이더플래닛,321820,kosdaq
핑거,163730,kosdaq
모비릭스,348030,kosdaq
씨앤투스,352700,kosdaq
선진뷰티사이언스,086710,kosdaq
엔비티,236810,kosdaq
파이버프로,368770,kosdaq
블리츠웨이,369370,kosdaq
석경에이티,357550,kosdaq
지놈앤컴퍼니,314130,kosdaq
프리시젼바이오,335810,kosdaq
알체라,347860,kosdaq
하이딥,365590,kosdaq
에프앤가이드,064850,kosdaq
에이치엠씨제5호스팩,353060,kosdaq
티엘비,356860,kosdaq
인바이오,352940,kosdaq
엔젠바이오,354200,kosdaq
DB금융스팩8호,367340,kosdaq
퀀타매트릭스,317690,kosdaq
클리노믹스,352770,kosdaq
포인트모바일,318020,kosdaq
앱코,129890,kosdaq
엔에프씨,265740,kosdaq
제일전기공업,199820,kosdaq
하나기술,299030,kosdaq
티앤엘,340570,kosdaq
고바이오랩,348150,kosdaq
네패스아크,330860,kosdaq
소룩스,290690,kosdaq
위드텍,348350,kosdaq
센코,347000,kosdaq
바이브컴퍼니,301300,kosdaq
미코바이오메드,214610,kosdaq
피플바이오,304840,kosdaq
넥스틴,348210,kosdaq
케이엔솔,053080,kosdaq
비나텍,126340,kosdaq
씨엔알리서치,359090,kosdaq
박셀바이오,323990,kosdaq
비비씨,318410,kosdaq
코스텍시스,355150,kosdaq
핌스,347770,kosdaq
압타머사이언스,291650,kosdaq
이오플로우,294090,kosdaq
카카오게임즈,293490,kosdaq
피엔케이피부임상연구센타,347740,kosdaq
아이디피,332370,kosdaq
셀레믹스,331920,kosdaq
미투젠,950190,kosdaq
브랜드엑스코퍼레이션,337930,kosdaq
영림원소프트랩,060850,kosdaq
한국파마,032300,kosdaq
솔브레인,357780,kosdaq
이루다,164060,kosdaq
와이팜,332570,kosdaq
에코앤드림,101360,kosdaq
엠투아이,347890,kosdaq
더네이쳐홀딩스,298540,kosdaq
제놀루션,225220,kosdaq
솔트룩스,304100,kosdaq
티에스아이,277880,kosdaq
에이프로,262260,kosdaq
소마젠,950200,kosdaq
신도기연,290520,kosdaq
위더스제약,330350,kosdaq
엠브레인,169330,kosdaq
젠큐릭스,229000,kosdaq
HB솔루션,297890,kosdaq
에스에이티이엔지,351320,kosdaq
에스씨엠생명과학,298060,kosdaq
휴럼,353190,kosdaq
이지바이오,353810,kosdaq
드림씨아이에스,223250,kosdaq
엔피디,198080,kosdaq
플레이디,237820,kosdaq
서울바이오시스,092190,kosdaq
제이앤티씨,204270,kosdaq
켄코아에어로스페이스,274090,kosdaq
레몬,294140,kosdaq
서남,294630,kosdaq
위세아이텍,065370,kosdaq
세림B&G,340440,kosdaq
CJ 바이오사이언스,311690,kosdaq
피피아이,062970,kosdaq
RF머트리얼즈,327260,kosdaq
아이비김영,339950,kosdaq
브릿지바이오,288330,kosdaq
다보링크,340360,kosdaq
메드팩토,235980,kosdaq
원텍,336570,kosdaq
신테카바이오,226330,kosdaq
제이엘케이,322510,kosdaq
태웅로직스,124560,kosdaq
윙스풋,335870,kosdaq
리메드,302550,kosdaq
비올,335890,kosdaq
웨이버스,336060,kosdaq
HLB바이오스텝,278650,kosdaq
티움바이오,321550,kosdaq
씨에스베어링,297090,kosdaq
우양,103840,kosdaq
코리아에셋투자증권,190650,kosdaq
에스제이그룹,306040,kosdaq
제테마,216080,kosdaq
제테마,216080,kosdaq
라파스,214260,kosdaq
아이티엠반도체,084850,kosdaq
일승,333430,kosdaq
미디어젠,279600,kosdaq
모코엠시스,333050,kosdaq
티라유텍,322180,kosdaq
밸로프,331520,kosdaq
캐리소프트,317530,kosdaq
케이엔제이,272110,kosdaq
엔바이오니아,317870,kosdaq
팜스빌,318010,kosdaq
라온피플,300120,kosdaq
아톤,158430,kosdaq
녹십자웰빙,234690,kosdaq
누보,332290,kosdaq
포커스에이치엔에스,331380,kosdaq
올리패스,244460,kosdaq
라닉스,317120,kosdaq
윈텍,320000,kosdaq
한독크린텍,256150,kosdaq
네오크레마,311390,kosdaq
마니커에프앤지,195500,kosdaq
솔트웨어,328380,kosdaq
나노브릭,286750,kosdaq
에스피시스템스,317830,kosdaq
레이,228670,kosdaq
그린플러스,186230,kosdaq
코윈테크,282880,kosdaq
덕산테코피아,317330,kosdaq
KBG,318000,kosdaq
엑스페릭스,317770,kosdaq
세경하이테크,148150,kosdaq
윌링스,313760,kosdaq
대모,317850,kosdaq
에이스토리,241840,kosdaq
플리토,300080,kosdaq
헥토파이낸셜,234340,kosdaq
아이스크림에듀,289010,kosdaq
펌텍코리아,251970,kosdaq
에이에프더블류,312610,kosdaq
태성,323280,kosdaq
엠에프엠코리아,323230,kosdaq
압타바이오,293780,kosdaq
까스텔바작,308100,kosdaq
마이크로디지탈,305090,kosdaq
코퍼스코리아,322780,kosdaq
프로이천,321260,kosdaq
수젠텍,253840,kosdaq
컴퍼니케이,307930,kosdaq
피에스케이,319660,kosdaq
현대무벡스,319400,kosdaq
TS트릴리온,317240,kosdaq
아모그린텍,125210,kosdaq
지노믹트리,228760,kosdaq
이지케어텍,099750,kosdaq
미래에셋벤처투자,100790,kosdaq
에코프로비엠,247540,kosdaq
셀리드,299660,kosdaq
천보,278280,kosdaq
이노테라피,246960,kosdaq
노랑풍선,104620,kosdaq
웹케시,053580,kosdaq
비피도,238200,kosdaq
비피도,238200,kosdaq
유틸렉스,263050,kosdaq
디케이티,290550,kosdaq
아이엘사이언스,307180,kosdaq
애니플러스,310200,kosdaq
디와이씨,310870,kosdaq
오하임아이엔티,309930,kosdaq
위지윅스튜디오,299900,kosdaq
국전약품,307750,kosdaq
에이비엘바이오,298380,kosdaq
머큐리,100590,kosdaq
전진바이오팜,110020,kosdaq
뉴트리,270870,kosdaq
비투엔,307870,kosdaq
이노메트리,302430,kosdaq
대유에이피,290120,kosdaq
에코캡,128540,kosdaq
원바이오젠,307280,kosdaq
베스파,299910,kosdaq
윙입푸드,900340,kosdaq
남화산업,111710,kosdaq
엠아이텍,179290,kosdaq
티로보틱스,117730,kosdaq
네오펙트,290660,kosdaq
티앤알바이오팹,246710,kosdaq
디알젬,263690,kosdaq
싸이토젠,217330,kosdaq
아주IB투자,027360,kosdaq
파멥신,208340,kosdaq
디케이앤디,263020,kosdaq
에이치앤비디자인,227100,kosdaq
노바렉스,194700,kosdaq
셀리버리,268600,kosdaq
대보마그네틱,290670,kosdaq
노바텍,285490,kosdaq
엘앤씨바이오,290650,kosdaq
네온테크,306620,kosdaq
로보티즈,108490,kosdaq
옵티팜,153710,kosdaq
에스퓨얼셀,288620,kosdaq
나우IB,293580,kosdaq
푸드나무,290720,kosdaq
크리스에프앤씨,110790,kosdaq
더블유에스아이,299170,kosdaq
지티지웰니스,219750,kosdaq
명성티엔에스,257370,kosdaq
엔피,291230,kosdaq
디지캡,197140,kosdaq
지니틱스,303030,kosdaq
액트로,290740,kosdaq
오파스넷,173130,kosdaq
에이피티씨,089970,kosdaq
바이오솔루션,086820,kosdaq
대유,290380,kosdaq
디아이티,110990,kosdaq
에스에스알,275630,kosdaq
휴네시온,290270,kosdaq
한국유니온제약,080720,kosdaq
한국유니온제약,080720,kosdaq
그리티,204020,kosdaq
알로이스,297570,kosdaq
올릭스,226950,kosdaq
아이큐어,175250,kosdaq
SV인베스트먼트,289080,kosdaq
EDGC,245620,kosdaq
카이노스메드,284620,kosdaq
파워넷,037030,kosdaq
카나리아바이오,016790,kosdaq
세종메디칼,258830,kosdaq
제노레이,122310,kosdaq
제이시스메디칼,287410,kosdaq
JTC,950170,kosdaq
네오셈,253590,kosdaq
케어랩스,263700,kosdaq
린드먼아시아,277070,kosdaq
오스테오닉,226400,kosdaq
엔지켐생명과학,183490,kosdaq
동구바이오제약,006620,kosdaq
아시아종묘,154030,kosdaq
알리코제약,260660,kosdaq
카페24,042000,kosdaq
링크제니시스,219420,kosdaq
배럴,267790,kosdaq
SG,255220,kosdaq
씨앤지하이테크,264660,kosdaq
시스웍,269620,kosdaq
디바이스이엔지,187870,kosdaq
레이크머티리얼즈,281740,kosdaq
씨티케이,260930,kosdaq
메카로,241770,kosdaq
에스트래픽,234300,kosdaq
체리부로,066360,kosdaq
대원,007680,kosdaq
비즈니스온,138580,kosdaq
스튜디오드래곤,253450,kosdaq
비디아이,148140,kosdaq
코오롱티슈진,950160,kosdaq
영화테크,265560,kosdaq
폴라리스세원,234100,kosdaq
상신전자,263810,kosdaq
야스,255440,kosdaq
인산가,277410,kosdaq
휴엠앤씨,263920,kosdaq
신흥에스이씨,243840,kosdaq
유티아이,179900,kosdaq
선익시스템,171090,kosdaq
엠플러스,259630,kosdaq
앱클론,174900,kosdaq
어스앤에어로스페이스,263540,kosdaq
펄어비스,263750,kosdaq
케이피에스,256940,kosdaq
덕우전자,263600,kosdaq
지오릿에너지,270520,kosdaq
케일럼,258610,kosdaq
알에스오토메이션,140670,kosdaq
컬러레이,900310,kosdaq
와이즈버즈,273060,kosdaq
모트렉스,118990,kosdaq
데이타솔루션,263800,kosdaq
지니언스,263860,kosdaq
디앤씨미디어,263720,kosdaq
셀트리온헬스케어,091990,kosdaq
이즈미디어,181340,kosdaq
힘스,238490,kosdaq
브이원텍,251630,kosdaq
아우딘퓨쳐스,227610,kosdaq
이녹스첨단소재,272290,kosdaq
하림지주,003380,kosdaq
덴티스,261200,kosdaq
나인테크,267320,kosdaq
보라티알,250000,kosdaq
매일유업,267980,kosdaq
삼양옵틱스,225190,kosdaq
이랜시스,264850,kosdaq
필옵틱스,161580,kosdaq
포인트엔지니어링,256630,kosdaq
하나머티리얼즈,166090,kosdaq
소프트캠프,258790,kosdaq
와이엠티,251370,kosdaq
AP시스템,265520,kosdaq
유에스티,263770,kosdaq
이엘피,063760,kosdaq
유비쿼스,264450,kosdaq
서진시스템,178320,kosdaq
코미코,183300,kosdaq
아스타,246720,kosdaq
에스디생명공학,217480,kosdaq
신신제약,002800,kosdaq
에프엔에스테크,083500,kosdaq
모바일어플라이언스,087260,kosdaq
피씨엘,241820,kosdaq
서플러스글로벌,140070,kosdaq
유바이오로직스,206650,kosdaq
한국비엔씨,256840,kosdaq
DSC인베스트먼트,241520,kosdaq
TS인베스트먼트,246690,kosdaq
피엠티,147760,kosdaq
애니젠,196300,kosdaq
유니온커뮤니티,203450,kosdaq
신라젠,215600,kosdaq
자비스,254120,kosdaq
오션브릿지,241790,kosdaq
퓨쳐켐,220100,kosdaq
뉴파워프라즈마,144960,kosdaq
엘앤케이바이오,156100,kosdaq
핸디소프트,220180,kosdaq
클리오,237880,kosdaq
오가닉티코스메틱,900300,kosdaq
얼라인드,238120,kosdaq
세화피앤씨,252500,kosdaq
인크로스,216050,kosdaq
에이치엘사이언스,239610,kosdaq
코스메카코리아,241710,kosdaq
GRT,900290,kosdaq
골든센츄리,900280,kosdaq
인텔리안테크,189300,kosdaq
에이치시티,072990,kosdaq
잉글우드랩,950140,kosdaq
앤디포스,238090,kosdaq
수산아이앤티,050960,kosdaq
미투온,201490,kosdaq
예선테크,250930,kosdaq
유니테크노,241690,kosdaq
모비스,250060,kosdaq
나무기술,242040,kosdaq
자이글,234920,kosdaq
헝셩그룹,900270,kosdaq
에코마케팅,230360,kosdaq
엔지스테크널러지,208860,kosdaq
우리손에프앤지,073560,kosdaq
아이윈플러스,123010,kosdaq
장원테크,174880,kosdaq
위니아,071460,kosdaq
비엘,142760,kosdaq
피앤씨테크,237750,kosdaq
로스웰,900260,kosdaq
에스티팜,237690,kosdaq
지씨셀,144510,kosdaq
알엔투테크놀로지,148250,kosdaq
줌인터넷,239340,kosdaq
휴온스,243070,kosdaq
원익IPS,240810,kosdaq
레이언스,228850,kosdaq
동양파일,228340,kosdaq
팬젠,222110,kosdaq
AP위성,211270,kosdaq
에이트원,230980,kosdaq
큐리언트,115180,kosdaq
안트로젠,065660,kosdaq
슈프리마,236200,kosdaq
유니트론텍,142210,kosdaq
크리스탈신소재,900250,kosdaq
더코디,224060,kosdaq
에스와이,109610,kosdaq
와이아이케이,232140,kosdaq
육일씨엔에쓰,191410,kosdaq
커머스마이너,223310,kosdaq
휴젤,145020,kosdaq
휴젤,145020,kosdaq
한국맥널티,222980,kosdaq
덱스터,206560,kosdaq
아진산업,013310,kosdaq
HLB제약,047920,kosdaq
강스템바이오텍,217730,kosdaq
메가엠디,133750,kosdaq
보광산업,225530,kosdaq
파크시스템스,140860,kosdaq
에치에프알,230240,kosdaq
예스티,122640,kosdaq
코스맥스엔비티,222040,kosdaq
멕아이씨에스,058110,kosdaq
원익피앤이,217820,kosdaq
하이즈항공,221840,kosdaq
DXVX,180400,kosdaq
케이디켐,221980,kosdaq
네오오토,212560,kosdaq
엔투텍,227950,kosdaq
케어젠,214370,kosdaq
아이진,185490,kosdaq
나무가,190510,kosdaq
이노시스,056090,kosdaq
본느,226340,kosdaq
연우,115960,kosdaq
엔케이맥스,182400,kosdaq
KH 건설,226360,kosdaq
엑시콘,092870,kosdaq
뉴지랩파마,214870,kosdaq
케이엠제약,225430,kosdaq
한송네오텍,226440,kosdaq
패션플랫폼,225590,kosdaq
넥슨게임즈,225570,kosdaq
제너셈,217190,kosdaq
타이거일렉,219130,kosdaq
인포마크,175140,kosdaq
씨아이에스,222080,kosdaq
에이텍모빌리티,224110,kosdaq
웹스,196700,kosdaq
파인텍,131760,kosdaq
세토피아,222810,kosdaq
심텍,222800,kosdaq
흥국에프엔비,189980,kosdaq
쎄노텍,222420,kosdaq
칩스앤미디어,094360,kosdaq
아시아경제,127710,kosdaq
아이쓰리시스템,214430,kosdaq
로지시스,067730,kosdaq
켐트로스,220260,kosdaq
파마리서치,214450,kosdaq
파마리서치,214450,kosdaq
디와이디,219550,kosdaq
펩트론,087010,kosdaq
RFHIC,218410,kosdaq
동운아나텍,094170,kosdaq
일월지엠엘,178780,kosdaq
헥토이노베이션,214180,kosdaq
이큐셀,160600,kosdaq
코아스템켐온,166480,kosdaq
에스엘에너지,214310,kosdaq
베셀,177350,kosdaq
넵튠,217270,kosdaq
미래생명자원,218150,kosdaq
싸이맥스,160980,kosdaq
러셀,217500,kosdaq
픽셀플러스,087600,kosdaq
디딤이앤에프,217620,kosdaq
제노포커스,187420,kosdaq
우정바이오,215380,kosdaq
토박스코리아,215480,kosdaq
알비케이그룹,215790,kosdaq
우리산업,215360,kosdaq
메가스터디교육,215200,kosdaq
휴센텍,215090,kosdaq
로보로보,215100,kosdaq
디알텍,214680,kosdaq
에이비프로바이오,195990,kosdaq
골프존,215000,kosdaq
클래시스,214150,kosdaq
FSN,214270,kosdaq
포시에스,189690,kosdaq
덕산네오룩스,213420,kosdaq
국일신동,060480,kosdaq
바디텍메드,206640,kosdaq
바디텍메드,206640,kosdaq
스튜디오산타클로스,204630,kosdaq
썸에이지,208640,kosdaq
와이제이엠게임즈,193250,kosdaq
에이팩트,200470,kosdaq
휴메딕스,200670,kosdaq
바이오로그디바이스,208710,kosdaq
서전기전,189860,kosdaq
아스트,067390,kosdaq
오킨스전자,080580,kosdaq
지란지교시큐리티,208350,kosdaq
NEW,160550,kosdaq
아이티센,124500,kosdaq
녹십자엠에스,142280,kosdaq
디티앤씨,187220,kosdaq
셀바스헬스케어,208370,kosdaq
정다운,208140,kosdaq
하이로닉,149980,kosdaq
랩지노믹스,084650,kosdaq
에이디테크놀로지,200710,kosdaq
비씨월드제약,200780,kosdaq
미스터블루,207760,kosdaq
알테오젠,196170,kosdaq
베노홀딩스,206400,kosdaq
대창스틸,140520,kosdaq
에프엔씨엔터,173940,kosdaq
휴마시스,205470,kosdaq
텔콘RF제약,200230,kosdaq
지엘팜텍,204840,kosdaq
글로벌텍스프리,204620,kosdaq
디에이테크놀로지,196490,kosdaq
액션스퀘어,205500,kosdaq
엑셈,205100,kosdaq
테고사이언스,191420,kosdaq
슈피겐코리아,192440,kosdaq
영우디에스피,143540,kosdaq
드림시큐리티,203650,kosdaq
메디아나,041920,kosdaq
메디아나,041920,kosdaq
데브시스터즈,194480,kosdaq
프로스테믹스,203690,kosdaq
휴림네트웍스,192410,kosdaq
고려시멘트,198440,kosdaq
신화콘텍,187270,kosdaq
파버나인,177830,kosdaq
덕신하우징,090410,kosdaq
창해에탄올,004650,kosdaq
윈하이텍,192390,kosdaq
아진엑스텍,059120,kosdaq
콜마비앤에이치,200130,kosdaq
트루윈,105550,kosdaq
코아시아씨엠,196450,kosdaq
캐스텍코리아,071850,kosdaq
나노,187790,kosdaq
케이사인,192250,kosdaq
오이솔루션,138080,kosdaq
한국정보인증,053300,kosdaq
다산솔루에타,154040,kosdaq
현대이지웰,090850,kosdaq
SGA솔루션즈,184230,kosdaq
기가레인,049080,kosdaq
인트로메딕,150840,kosdaq
알티캐스트,085810,kosdaq
현대공업,170030,kosdaq
엔브이에이치코리아,067570,kosdaq
탑코미디어,134580,kosdaq
큐브엔터,182360,kosdaq
라이온켐텍,171120,kosdaq
램테크놀러지,171010,kosdaq
THE MIDONG,161570,kosdaq
협진,138360,kosdaq
해성옵틱스,076610,kosdaq
내츄럴엔도텍,168330,kosdaq
두산테스나,131970,kosdaq
파수,150900,kosdaq
엘티씨,170920,kosdaq
지엔씨에너지,119850,kosdaq
아미코젠,092040,kosdaq
GH신소재,130500,kosdaq
파이오링크,170790,kosdaq
KG ETS,151860,kosdaq
나스미디어,089600,kosdaq
엑세스바이오,950130,kosdaq
레고켐바이오,141080,kosdaq
윈팩,097800,kosdaq
코렌텍,104540,kosdaq
제로투세븐,159580,kosdaq
한솔아이원스,114810,kosdaq
우리이앤엘,153490,kosdaq
아이센스,099190,kosdaq
디에스앤엘,141020,kosdaq
스킨앤스킨,159910,kosdaq
