,Date,Open,High,Low,Close,Volume,name,code
0,20180620,27270,27543,27200,27386,8586214,KODEX_200,069500
1,20180621,27356,27464,27125,27153,9493457,KODEX_200,069500
2,20180622,26893,27351,26889,27358,10291911,KODEX_200,069500
3,20180625,27279,27400,27070,27344,15507285,KODEX_200,069500
4,20180626,27089,27363,26981,27313,8795326,KODEX_200,069500
5,20180627,27228,27378,27188,27216,12336214,KODEX_200,069500
6,20180628,27120,27180,26893,26973,9273669,KODEX_200,069500
7,20180629,26995,27089,26708,27031,15899936,KODEX_200,069500
8,20180702,26977,27053,26418,26427,10619070,KODEX_200,069500
9,20180703,26567,26617,26262,26465,10991525,KODEX_200,069500
10,20180704,26468,26585,26357,26387,7818026,KODEX_200,069500
11,20180705,26380,26500,26164,26324,8807543,KODEX_200,069500
12,20180706,26308,26626,26199,26514,10009304,KODEX_200,069500
13,20180709,26495,26789,26418,26710,9353001,KODEX_200,069500
14,20180710,26813,26897,26722,26746,5485328,KODEX_200,069500
15,20180711,26544,26652,26335,26596,11421501,KODEX_200,069500
16,20180712,26634,26803,26531,26677,8172343,KODEX_200,069500
17,20180713,26708,27016,26698,26942,8885520,KODEX_200,069500
18,20180716,26958,27025,26826,26860,8716938,KODEX_200,069500
19,20180717,26856,26914,26693,26828,8075605,KODEX_200,069500
20,20180718,26958,27084,26726,26764,8404148,KODEX_200,069500
21,20180719,26851,26897,26667,26693,7848921,KODEX_200,069500
22,20180720,26712,26856,26544,26823,9466916,KODEX_200,069500
23,20180723,26803,26813,26554,26609,8095992,KODEX_200,069500
24,20180724,26647,26730,26504,26689,2848354,KODEX_200,069500
25,20180725,26740,26843,26599,26642,6780080,KODEX_200,069500
26,20180726,26784,26922,26671,26818,2890108,KODEX_200,069500
27,20180727,26847,26893,26762,26900,1843583,KODEX_200,069500
28,20180730,26821,26907,26722,26837,6075938,KODEX_200,069500
29,20180731,26838,26875,26752,26873,5973668,KODEX_200,069500
30,20180801,26918,27071,26902,26969,6297742,KODEX_200,069500
31,20180802,26955,26955,26449,26486,6315816,KODEX_200,069500
32,20180803,26558,26697,26484,26692,6506376,KODEX_200,069500
33,20180806,26708,26847,26643,26653,9280859,KODEX_200,069500
34,20180807,26693,26835,26576,26833,6911199,KODEX_200,069500
35,20180808,26893,26941,26808,26837,6206242,KODEX_200,069500
36,20180809,26831,26860,26703,26823,5557593,KODEX_200,069500
37,20180810,26762,26762,26467,26533,6190011,KODEX_200,069500
38,20180813,26338,26379,26033,26180,7776903,KODEX_200,069500
39,20180814,26184,26338,26171,26295,5711641,KODEX_200,069500
40,20180816,25967,26111,25797,26041,6989531,KODEX_200,069500
41,20180817,26042,26120,25987,26050,5417431,KODEX_200,069500
42,20180820,26153,26275,26030,26072,5735291,KODEX_200,069500
43,20180821,26056,26383,26003,26355,5462988,KODEX_200,069500
44,20180822,26374,26516,26334,26449,11706280,KODEX_200,069500
45,20180823,26567,26572,26408,26559,5403783,KODEX_200,069500
46,20180824,26504,26712,26413,26663,4091947,KODEX_200,069500
47,20180827,26752,26835,26662,26796,4407400,KODEX_200,069500
48,20180828,26914,26982,26799,26815,7380570,KODEX_200,069500
49,20180829,26842,26918,26799,26890,3995581,KODEX_200,069500
50,20180830,26923,27062,26835,26905,8012112,KODEX_200,069500
51,20180831,26780,27017,26730,27015,5061348,KODEX_200,069500
52,20180903,26991,26991,26813,26855,6555297,KODEX_200,069500
53,20180904,26856,26991,26803,26973,6502412,KODEX_200,069500
54,20180905,26875,26928,26576,26626,6532980,KODEX_200,069500
55,20180906,26554,26698,26512,26587,7192223,KODEX_200,069500
56,20180907,26379,26526,26248,26435,5849108,KODEX_200,069500
57,20180910,26416,26543,26391,26495,5423490,KODEX_200,069500
58,20180911,26467,26599,26322,26409,4741249,KODEX_200,069500
59,20180912,26427,26467,26252,26382,6979941,KODEX_200,069500
60,20180913,26392,26481,26348,26418,3794029,KODEX_200,069500
61,20180914,26580,26860,26580,26837,6148309,KODEX_200,069500
62,20180917,26748,26762,26540,26626,6559297,KODEX_200,069500
63,20180918,26441,26762,26427,26741,6918283,KODEX_200,069500
64,20180919,26860,26860,26652,26764,6989587,KODEX_200,069500
65,20180920,26847,27109,26813,27019,6048201,KODEX_200,069500
66,20180921,27085,27118,26982,27127,9171572,KODEX_200,069500
67,20180927,27061,27375,27054,27333,4484977,KODEX_200,069500
68,20180928,27362,27362,27138,27161,6987430,KODEX_200,069500
69,20181001,27196,27279,27050,27156,4915218,KODEX_200,069500
70,20181002,27126,27201,26803,26828,5073326,KODEX_200,069500
71,20181004,26856,26856,26356,26413,8115451,KODEX_200,069500
72,20181005,26366,26462,26188,26372,8789207,KODEX_200,069500
73,20181008,26243,26441,26226,26241,5275252,KODEX_200,069500
74,20181010,26280,26293,25972,26072,7142819,KODEX_200,069500
75,20181011,25412,25576,24961,24993,13035846,KODEX_200,069500
76,20181012,24971,25431,24939,25237,18430497,KODEX_200,069500
77,20181015,25161,25221,25021,25097,4599715,KODEX_200,069500
78,20181016,25198,25279,24990,25031,3778399,KODEX_200,069500
79,20181017,25327,25501,25251,25356,4677890,KODEX_200,069500
80,20181018,25256,25331,25099,25127,5543445,KODEX_200,069500
81,20181019,24931,25256,24785,25227,4855684,KODEX_200,069500
82,20181022,25045,25327,24985,25277,3757702,KODEX_200,069500
83,20181023,25090,25115,24521,24691,8767734,KODEX_200,069500
84,20181024,24813,24834,24516,24564,12539145,KODEX_200,069500
85,20181025,24049,24179,23816,24173,12106469,KODEX_200,069500
86,20181026,24192,24197,23568,23788,8531236,KODEX_200,069500
87,20181029,23866,24025,23548,23596,5495105,KODEX_200,069500
88,20181030,23560,23969,23476,23760,8303525,KODEX_200,069500
89,20181031,23817,23890,23625,23869,6388888,KODEX_200,069500
90,20181101,23900,24164,23760,23768,5308709,KODEX_200,069500
91,20181102,24071,24677,24032,24667,6656197,KODEX_200,069500
92,20181105,24551,24551,24105,24397,7189790,KODEX_200,069500
93,20181106,24520,24603,24292,24567,6579802,KODEX_200,069500
94,20181107,24556,24780,24373,24443,6939682,KODEX_200,069500
95,20181108,24825,24980,24645,24648,6450728,KODEX_200,069500
96,20181109,24640,24728,24479,24501,8738439,KODEX_200,069500
97,20181112,24310,24611,24274,24562,4386296,KODEX_200,069500
98,20181113,24186,24410,23954,24379,8402814,KODEX_200,069500
99,20181114,24391,24420,24242,24317,5327084,KODEX_200,069500
100,20181115,24282,24574,24201,24557,7524511,KODEX_200,069500
101,20181116,24657,24715,24501,24538,5104435,KODEX_200,069500
102,20181119,24579,24776,24501,24627,4844965,KODEX_200,069500
103,20181120,24355,24492,24305,24384,8558197,KODEX_200,069500
104,20181121,24064,24287,23992,24265,6141961,KODEX_200,069500
105,20181122,24265,24341,24186,24239,6119137,KODEX_200,069500
106,20181123,24221,24287,23974,24084,5344075,KODEX_200,069500
107,20181126,24140,24424,24117,24410,6519116,KODEX_200,069500
108,20181127,24487,24645,24351,24598,6315396,KODEX_200,069500
109,20181128,24677,24751,24551,24749,5363480,KODEX_200,069500
110,20181129,25083,25116,24732,24795,4150377,KODEX_200,069500
111,20181130,24844,24893,24501,24562,5947395,KODEX_200,069500
112,20181203,24907,25050,24751,24993,6110470,KODEX_200,069500
113,20181204,24884,24916,24584,24712,8417842,KODEX_200,069500
114,20181205,24383,24649,24383,24562,10905166,KODEX_200,069500
115,20181206,24432,24442,24145,24198,9920214,KODEX_200,069500
116,20181207,24292,24383,24169,24279,8614593,KODEX_200,069500
117,20181210,23945,24091,23867,24050,12864193,KODEX_200,069500
118,20181211,24081,24105,23910,23993,19551069,KODEX_200,069500
119,20181212,24081,24341,24051,24307,13600440,KODEX_200,069500
120,20181213,24297,24547,24274,24434,17302123,KODEX_200,069500
121,20181214,24410,24420,23923,24040,13370352,KODEX_200,069500
122,20181217,24113,24201,24071,24110,10557981,KODEX_200,069500
123,20181218,23979,24149,23940,24024,7383964,KODEX_200,069500
124,20181219,24081,24216,24032,24183,10191745,KODEX_200,069500
125,20181220,24036,24095,23822,23971,10949995,KODEX_200,069500
126,20181221,23910,23992,23840,23950,10867071,KODEX_200,069500
127,20181224,23900,23964,23805,23958,15729640,KODEX_200,069500
128,20181226,23664,23773,23498,23646,7589547,KODEX_200,069500
129,20181227,23959,24041,23872,23940,9600801,KODEX_200,069500
130,20181228,23992,24140,23992,24035,4795790,KODEX_200,069500
131,20190102,24211,24247,23673,23760,5302887,KODEX_200,069500
132,20190103,23747,23773,23493,23529,6246348,KODEX_200,069500
133,20190104,23511,23733,23448,23709,11368166,KODEX_200,069500
134,20190107,24000,24216,23988,24045,6302814,KODEX_200,069500
135,20190108,24051,24122,23867,23892,5164216,KODEX_200,069500
136,20190109,23983,24450,23983,24384,5819735,KODEX_200,069500
137,20190110,24396,24510,24301,24375,6550921,KODEX_200,069500
138,20190111,24470,24589,24388,24523,5588358,KODEX_200,069500
139,20190114,24465,24492,24278,24312,3921203,KODEX_200,069500
140,20190115,24392,24803,24378,24800,5246211,KODEX_200,069500
141,20190116,24780,24898,24711,24909,7294444,KODEX_200,069500
142,20190117,24951,25063,24863,24963,5357877,KODEX_200,069500
143,20190118,25096,25165,25036,25148,6263909,KODEX_200,069500
144,20190121,25309,25314,25012,25163,6351378,KODEX_200,069500
145,20190122,25179,25221,24939,25039,5691815,KODEX_200,069500
146,20190123,24936,25230,24921,25183,4443926,KODEX_200,069500
147,20190124,25161,25383,25131,25391,6367046,KODEX_200,069500
148,20190125,25460,25862,25428,25852,7885004,KODEX_200,069500
149,20190128,25894,26007,25746,25838,8264226,KODEX_200,069500
150,20190129,25791,25954,25668,25961,6006241,KODEX_200,069500
151,20190130,25941,26270,25912,26276,9281305,KODEX_200,069500
152,20190131,26516,26526,26238,26250,8085314,KODEX_200,069500
153,20190201,26334,26458,26178,26222,8703413,KODEX_200,069500
154,20190207,26366,26397,26142,26222,5980259,KODEX_200,069500
155,20190208,26073,26087,25795,25852,6930758,KODEX_200,069500
156,20190211,25848,25891,25724,25897,7632460,KODEX_200,069500
157,20190212,25894,26092,25848,26040,10620240,KODEX_200,069500
158,20190213,26147,26192,26074,26170,4502135,KODEX_200,069500
159,20190214,26077,26413,25958,26422,5469772,KODEX_200,069500
160,20190215,26303,26303,25958,26074,4627437,KODEX_200,069500
161,20190218,26197,26348,26142,26263,5909970,KODEX_200,069500
162,20190219,26206,26265,25986,26142,5340596,KODEX_200,069500
163,20190220,26312,26536,26248,26444,7270493,KODEX_200,069500
164,20190221,26348,26541,26238,26444,5426037,KODEX_200,069500
165,20190222,26388,26449,26303,26459,2817293,KODEX_200,069500
166,20190225,26600,26639,26404,26513,4858791,KODEX_200,069500
167,20190226,26490,26521,26352,26413,8082846,KODEX_200,069500
168,20190227,26495,26555,26437,26499,3935664,KODEX_200,069500
169,20190228,26449,26490,26041,26052,6386283,KODEX_200,069500
170,20190304,26226,26325,25912,25926,5832112,KODEX_200,069500
171,20190305,25834,25862,25654,25745,5600936,KODEX_200,069500
172,20190306,25719,25719,25604,25671,5561870,KODEX_200,069500
173,20190307,25645,25786,25493,25593,9591531,KODEX_200,069500
174,20190308,25469,25511,25238,25248,8190590,KODEX_200,069500
175,20190311,25272,25341,25165,25264,18580904,KODEX_200,069500
176,20190312,25433,25568,25433,25524,10299507,KODEX_200,069500
177,20190313,25438,25443,25154,25338,12886213,KODEX_200,069500
178,20190314,25409,25493,25247,25405,5347435,KODEX_200,069500
179,20190315,25369,25782,25364,25700,6509469,KODEX_200,069500
180,20190318,25746,25791,25649,25721,12081400,KODEX_200,069500
181,20190319,25741,25764,25599,25695,6161321,KODEX_200,069500
182,20190320,25617,25724,25391,25726,12238076,KODEX_200,069500
183,20190321,25769,26114,25769,25902,13078632,KODEX_200,069500
184,20190322,26024,26097,25902,25961,9801541,KODEX_200,069500
185,20190325,25613,25654,25450,25460,5044914,KODEX_200,069500
186,20190326,25506,25556,25438,25479,6947111,KODEX_200,069500
187,20190327,25414,25552,25252,25474,6206834,KODEX_200,069500
188,20190328,25314,25424,25214,25334,5121636,KODEX_200,069500
189,20190329,25341,25489,25280,25483,7677024,KODEX_200,069500
190,20190401,25599,25843,25599,25819,5520060,KODEX_200,069500
191,20190402,25867,25981,25857,25922,6318135,KODEX_200,069500
192,20190403,25940,26292,25881,26298,5504493,KODEX_200,069500
193,20190404,26289,26485,26248,26326,8336257,KODEX_200,069500
194,20190405,26325,26449,26307,26376,5400602,KODEX_200,069500
195,20190408,26462,26481,26235,26313,7806207,KODEX_200,069500
196,20190409,26338,26490,26252,26358,6722089,KODEX_200,069500
197,20190410,26256,26489,26242,26495,7401334,KODEX_200,069500
198,20190411,26516,26550,26334,26435,5964149,KODEX_200,069500
199,20190412,26404,26545,26289,26499,7486280,KODEX_200,069500
200,20190415,26572,26735,26572,26608,9023605,KODEX_200,069500
201,20190416,26559,26723,26559,26711,4964551,KODEX_200,069500
202,20190417,26718,26762,26653,26693,16067989,KODEX_200,069500
203,20190418,26709,26740,26226,26268,6749095,KODEX_200,069500
204,20190419,26361,26417,26261,26272,4903960,KODEX_200,069500
205,20190422,26275,26427,26157,26276,4655430,KODEX_200,069500
206,20190423,26265,26371,26221,26322,10307714,KODEX_200,069500
207,20190424,26417,26441,25912,26040,7609293,KODEX_200,069500
208,20190425,26000,26114,25926,25997,2257941,KODEX_200,069500
209,20190426,25867,25941,25710,25843,3315868,KODEX_200,069500
210,20190429,25938,26356,25887,26361,4237335,KODEX_200,069500
211,20190430,26356,26356,25974,26199,12631637,KODEX_200,069500
212,20190502,26092,26379,26018,26311,3415677,KODEX_200,069500
213,20190503,26288,26288,26023,26078,4391582,KODEX_200,069500
214,20190507,25839,25887,25614,25870,6560801,KODEX_200,069500
215,20190508,25527,25896,25519,25752,5157725,KODEX_200,069500
216,20190509,25633,25674,24956,24998,10640469,KODEX_200,069500
217,20190510,25109,25225,24795,25044,10873478,KODEX_200,069500
218,20190513,24842,24956,24696,24749,6769586,KODEX_200,069500
219,20190514,24471,24870,24446,24704,13902761,KODEX_200,069500
220,20190515,24777,24897,24587,24819,8429814,KODEX_200,069500
221,20190516,24773,24810,24406,24468,12618053,KODEX_200,069500
222,20190517,24577,24648,24262,24309,6274712,KODEX_200,069500
223,20190520,24382,24606,24313,24374,4453373,KODEX_200,069500
224,20190521,24363,24686,24337,24492,9224524,KODEX_200,069500
225,20190522,24548,24606,24262,24545,5888314,KODEX_200,069500
226,20190523,24542,24558,24322,24516,4757178,KODEX_200,069500
227,20190524,24410,24488,24205,24337,5250330,KODEX_200,069500
228,20190527,24299,24451,24212,24356,4228829,KODEX_200,069500
229,20190528,24337,24466,24231,24392,5171021,KODEX_200,069500
230,20190529,24303,24313,23941,24058,6119053,KODEX_200,069500
231,20190530,24109,24290,24085,24281,6307993,KODEX_200,069500
232,20190531,24227,24377,24070,24240,9406985,KODEX_200,069500
233,20190603,24192,24660,24122,24639,4817807,KODEX_200,069500
234,20190604,24614,24673,24527,24591,7168108,KODEX_200,069500
235,20190605,24814,24870,24582,24620,5600789,KODEX_200,069500
236,20190607,24614,24810,24461,24630,4146890,KODEX_200,069500
237,20190610,24752,25036,24691,24988,4642754,KODEX_200,069500
238,20190611,24935,25160,24911,25129,1856629,KODEX_200,069500
239,20190612,25119,25213,25013,25044,2482525,KODEX_200,069500
240,20190613,24943,25060,24660,24837,6740525,KODEX_200,069500
241,20190614,24827,24961,24696,24832,5743502,KODEX_200,069500
242,20190617,24800,24961,24747,24847,3259489,KODEX_200,069500
243,20190618,24818,24999,24800,24971,4556791,KODEX_200,069500
244,20190619,25242,25333,25198,25283,4921704,KODEX_200,069500
245,20190620,25284,25376,25233,25371,6505149,KODEX_200,069500
246,20190621,25376,25394,25242,25303,5118352,KODEX_200,069500
247,20190624,25315,25441,25302,25343,4579654,KODEX_200,069500
248,20190625,25310,25464,25198,25308,7191635,KODEX_200,069500
249,20190626,25266,25388,25246,25334,10199665,KODEX_200,069500
250,20190627,25399,25679,25347,25641,8851681,KODEX_200,069500
251,20190628,25633,25674,25511,25576,6030496,KODEX_200,069500
252,20190701,25763,25828,25537,25581,6081010,KODEX_200,069500
253,20190702,25464,25578,25319,25439,6797858,KODEX_200,069500
254,20190703,25412,25497,25070,25112,5285143,KODEX_200,069500
255,20190704,25134,25319,25080,25325,6028235,KODEX_200,069500
256,20190705,25319,25371,25124,25288,5056679,KODEX_200,069500
257,20190708,25098,25098,24747,24758,5815418,KODEX_200,069500
258,20190709,24822,24911,24701,24708,6119624,KODEX_200,069500
259,20190710,24791,24915,24787,24801,4618458,KODEX_200,069500
260,20190711,24939,25173,24911,25102,4726451,KODEX_200,069500
261,20190712,25060,25188,25013,25156,3224855,KODEX_200,069500
262,20190715,25069,25197,24984,25141,2166460,KODEX_200,069500
263,20190716,25168,25305,25102,25256,4727106,KODEX_200,069500
264,20190717,25102,25129,24935,25031,4512522,KODEX_200,069500
265,20190718,24980,25055,24875,24975,5046577,KODEX_200,069500
266,20190719,25106,25376,25106,25325,5026236,KODEX_200,069500
267,20190722,25247,25385,25218,25317,4415744,KODEX_200,069500
268,20190723,25366,25511,25324,25439,4274620,KODEX_200,069500
269,20190724,25371,25497,25160,25194,4463288,KODEX_200,069500
270,20190725,25257,25306,25013,25146,5187721,KODEX_200,069500
271,20190726,25027,25124,24966,25094,2259082,KODEX_200,069500
272,20190729,25046,25070,24660,24758,3624040,KODEX_200,069500
273,20190730,24828,24888,24765,24824,6889087,KODEX_200,069500
274,20190731,24733,24848,24480,24574,4964100,KODEX_200,069500
275,20190801,24415,24682,24401,24544,4288286,KODEX_200,069500
276,20190802,24275,24336,24144,24271,7565642,KODEX_200,069500
277,20190805,24144,24410,23700,23745,17225918,KODEX_200,069500
278,20190806,23199,23715,23142,23413,13224652,KODEX_200,069500
279,20190807,23407,23507,23177,23271,7490420,KODEX_200,069500
280,20190808,23457,23563,23281,23371,6555554,KODEX_200,069500
281,20190809,23507,23624,23476,23534,5703106,KODEX_200,069500
282,20190812,23545,23645,23471,23569,5834652,KODEX_200,069500
283,20190813,23462,23471,23310,23332,5682662,KODEX_200,069500
284,20190814,23553,23683,23471,23496,8875419,KODEX_200,069500
285,20190816,23350,23411,23189,23418,5384477,KODEX_200,069500
286,20190819,23558,23599,23457,23565,4818101,KODEX_200,069500
287,20190820,23545,23833,23512,23795,5541161,KODEX_200,069500
288,20190821,23744,23922,23729,23843,7371601,KODEX_200,069500
289,20190822,23857,23857,23624,23653,5591350,KODEX_200,069500
290,20190823,23545,23678,23517,23630,5768424,KODEX_200,069500
291,20190826,23208,23332,23147,23285,4148385,KODEX_200,069500
292,20190827,23392,23498,23301,23358,3938374,KODEX_200,069500
293,20190828,23435,23594,23388,23584,3740159,KODEX_200,069500
294,20190829,23585,23599,23392,23454,5925071,KODEX_200,069500
295,20190830,23599,23932,23599,23843,5464271,KODEX_200,069500
296,20190902,23802,23935,23774,23885,5993022,KODEX_200,069500
297,20190903,23810,23940,23739,23790,6003211,KODEX_200,069500
298,20190904,23765,24139,23744,24146,4777186,KODEX_200,069500
299,20190905,24181,24522,24168,24360,6841565,KODEX_200,069500
300,20190906,24517,24527,24401,24467,7368773,KODEX_200,069500
301,20190909,24517,24765,24507,24666,3977622,KODEX_200,069500
302,20190910,24686,24788,24644,24772,4419715,KODEX_200,069500
303,20190911,24843,24991,24833,24957,4534869,KODEX_200,069500
304,20190916,25051,25056,24848,25037,4145420,KODEX_200,069500
305,20190917,25028,25084,24944,25028,6526764,KODEX_200,069500
306,20190918,25066,25215,24981,25162,4497516,KODEX_200,069500
307,20190919,25130,25433,25130,25331,5501723,KODEX_200,069500
308,20190920,25312,25499,25277,25469,5671849,KODEX_200,069500
309,20190923,25405,25521,25401,25501,4382114,KODEX_200,069500
310,20190924,25494,25645,25405,25652,5796444,KODEX_200,069500
311,20190925,25521,25534,25269,25284,6255529,KODEX_200,069500
312,20190926,25358,25470,25205,25331,5616376,KODEX_200,069500
313,20190927,25277,25281,24981,25063,3811444,KODEX_200,069500
